ProtID1,ProtID2
Q8N5N7,Q6P1L8
Q9BZE1,Q13405
Q9BZE1,Q9H2W6
Q9BZE1,Q9P0M9
Q9NYK5,Q9H0U6
Q13084,Q9H9J2
Q9BZE1,Q9Y3B7
Q13084,Q9BZE1
Q9Y6G3,Q9BQ48
Q8IXM3,P49406
Q8N983,Q9BYD3
Q9Y6G3,Q9H0U6
Q8IXM3,Q6P1L8
Q9Y6G3,Q9H2W6
Q13084,Q9BYD1
Q8N5N7,Q7Z2W9
Q8IXM3,Q9H0U6
Q8N983,Q9BYC9
Q8N5N7,Q9H0U6
Q9BYD3,Q9H0U6
Q9NZE8,Q9NVS2
Q96DV4,Q9BZE1
Q9BYD3,P49406
Q8N5N7,Q16540
Q13084,Q9NVS2
Q9NZE8,Q96GC5
Q9NYK5,Q6P1L8
Q9NZE8,Q9BYC9
Q13084,Q9BYD2
Q9NZE8,Q7Z7F7
Q9NP92,Q6P1L8
Q8IXM3,Q9NRX2
Q9NZE8,Q13405
Q13084,Q9NRX2
Q9Y6G3,Q9BYD2
Q9BZE1,Q96A35
Q9H2W6,O14561
Q9BYD3,Q16540
Q9BZE1,Q4U2R6
Q9HD33,Q6P1L8
Q9NZE8,Q5T653
Q8N5N7,Q96EL3
Q9BZE1,Q9NX20
Q9NZE8,P09001
Q9BQC6,Q9P0M9
Q7Z7H8,Q9NX20
Q7Z7H8,Q9NWU5
Q7Z7H8,Q9P0J6
Q7Z7H8,Q9Y6G3
Q9H0U6,Q9H0U6
Q9NWU5,Q9NWU5
Q9NWU5,Q9P0J6
Q9P0J6,Q9Y6G3
Q9Y6G3,Q9Y6G3
Q9H2W6,Q9H2W6
Q8N5N7,Q8N5N7
Q9NP92,Q9NP92
Q9H0U6,Q96DV4
Q9Y3B7,Q6P161
Q8TAE8,Q96DV4
