ProtID1,ProtID2
Q9BYD2,Q13084
Q9H0U6,P09001
Q13084,P09001
Q9BYD3,P09001
Q9H0U6,Q9BZE1
Q9NWU5,Q9BZE1
Q13084,Q9BZE1
P09001,Q9BZE1
Q9BYC8,Q9BZE1
Q9NYK5,Q9BZE1
Q9P015,Q96DV4
Q96A35,Q96DV4
Q13084,Q96DV4
P09001,Q96DV4
Q9BYD3,Q96DV4
Q9HD33,Q96DV4
Q9BYD2,Q96DV4
Q14197,Q9NYK5
Q5T653,Q9NYK5
Q13084,Q9NYK5
Q9BYD2,Q9NYK5
Q9H2W6,Q9NQ50
Q96A35,Q9H2W6
Q9NYK5,Q9H2W6
Q9BYD2,Q9H2W6
Q9H0U6,Q9HD33
P49406,Q9HD33
Q5T653,Q9HD33
Q9BZE1,Q9HD33
Q9BYD2,Q9HD33
Q9BYD2,Q96GC5
Q9BYD3,Q4U2R6
Q9NQ50,Q7Z7F7
Q9H2W6,Q7Z7F7
Q96GC5,Q7Z7F7
Q5T653,Q9BYD2
Q96A35,Q9BYD2
P09001,Q9BYD2
Q9BYC8,Q9BYD2
Q9BZE1,Q9BYD2
Q13084,Q9NP92
Q9Y3B7,O14561
Q8N5N7,Q13405
Q9BYD2,Q13405
Q8N5N7,Q14197
Q9BYD2,Q14197
Q8N5N7,Q16540
Q9BYD2,Q16540
Q8N5N7,O75394
Q9BYD2,O75394
Q8N5N7,P49406
Q9BYD2,P49406
Q8N5N7,Q13084
Q9BYD2,Q13084
Q8N5N7,Q9NP92
Q9BYD2,Q9NP92
Q8N5N7,P09001
Q9BYD2,P09001
Q8N5N7,Q9H2W6
Q9BYD2,Q9H2W6
Q8N5N7,Q9Y6G3
Q9BYD2,Q9Y6G3
Q8N5N7,Q9BYD1
Q9BYD2,Q9BYD1
Q8N5N7,Q9H0U6
Q9BYD2,Q9H0U6
Q8N5N7,Q9P015
Q9BYD2,Q9P015
Q8N5N7,Q9NWU5
Q9BYD2,Q9NWU5
Q8N5N7,Q5T653
Q9BYD2,Q5T653
Q8N5N7,Q9BYD3
Q9BYD2,Q9BYD3
Q8N5N7,Q9BZE1
Q9BYD2,Q9BZE1
Q8N5N7,Q4U2R6
Q9BYD2,Q4U2R6
Q8N5N7,Q8TCC3
Q9BYD2,Q8TCC3
Q8N5N7,Q9P0M9
Q9BYD2,Q9P0M9
Q8N5N7,Q9NZE8
Q9BYD2,Q9NZE8
Q8N5N7,Q96GC5
Q9BYD2,Q96GC5
Q8N5N7,Q9NYK5
Q9BYD2,Q9NYK5
Q9BYD2,Q8N5N7
Q8N5N7,Q9NX20
Q9BYD2,Q9NX20
Q8N5N7,Q9BYC9
Q9BYD2,Q9BYC9
Q8N5N7,Q9NVS2
Q9BYD2,Q9NVS2
Q8N5N7,Q9HD33
Q9BYD2,Q9HD33
Q8N5N7,Q9NRX2
Q9BYD2,Q9NRX2
Q8N5N7,Q6P1L8
Q9BYD2,Q6P1L8
Q8N5N7,Q8IXM3
Q9BYD2,Q8IXM3
Q8N5N7,Q9NQ50
Q9BYD2,Q9NQ50
Q8N5N7,Q96DV4
Q9BYD2,Q96DV4
Q8N5N7,Q9BQ48
Q9BYD2,Q9BQ48
Q8N5N7,Q9BYC8
Q9BYD2,Q9BYC8
Q8N5N7,Q9BYD2
Q8N5N7,Q9H9J2
Q9BYD2,Q9H9J2
Q8N5N7,Q96A35
Q9BYD2,Q96A35
Q8N5N7,Q8N983
Q9BYD2,Q8N983
Q8N5N7,Q8TAE8
Q9BYD2,Q8TAE8
Q8N5N7,Q96EL3
Q9BYD2,Q96EL3
Q8N5N7,Q6P161
Q9BYD2,Q6P161
Q8N5N7,Q86TS9
Q9BYD2,Q86TS9
Q8N5N7,Q7Z7H8
Q9BYD2,Q7Z7H8
Q8N5N7,Q7Z7F7
Q8N5N7,Q7Z2W9
Q9BYD2,Q7Z2W9
Q7Z7H8,Q9NP92
Q8N5N7,Q9NP92
Q9NP92,Q9HD33
Q9Y6G3,Q9NP92
Q13084,Q9NP92
Q7Z7H8,Q9BYD3
Q8N5N7,Q9HD33
Q9NP92,Q8IXM3
Q9H2W6,Q9NQ50
Q9Y6G3,Q8N5N7
Q13084,Q9HD33
Q9Y6G3,Q9HD33
Q9NYK5,Q9NP92
Q9NP92,Q9NQ50
Q9BYD3,Q9NP92
Q9BYD3,Q9HD33
Q9NP92,Q86TS9
Q9NZE8,Q9HD33
Q9H2W6,Q7Z7F7
Q9NYK5,Q9HD33
Q8N5N7,Q7Z7H8
Q9Y6G3,Q7Z7H8
Q7Z7H8,Q9HD33
Q9Y6G3,Q4U2R6
Q9BYD3,Q4U2R6
Q9NP92,Q7Z7F7
Q9HD33,Q8TAE8
Q8N5N7,Q9BYD3
Q7Z7H8,Q5T653
Q9NP92,Q4U2R6
Q9Y6G3,Q9BYD3
Q9NP92,Q13405
Q13084,Q9BYD3
Q8N5N7,Q7Z7F7
Q9HD33,Q8IXM3
Q9NP92,Q8TAE8
Q9HD33,Q96A35
Q9HD33,Q13405
Q8N5N7,Q9NVS2
Q9NP92,Q9NX20
Q9NP92,Q96A35
Q9BQ48,Q9HD33
Q9NP92,Q5T653
Q9Y6G3,Q7Z2W9
Q9NP92,Q9NRX2
Q7Z7H8,Q4U2R6
Q7Z7H8,Q7Z7F7
Q9HD33,Q9BYD1
Q9NP92,Q96DV4
Q9HD33,Q9BYC8
Q9NP92,Q9BYC9
Q9HD33,Q4U2R6
Q8N5N7,Q4U2R6
Q9NP92,Q8TCC3
Q9NP92,Q9P0M9
Q9NP92,Q9H2W6
Q9BYD3,Q9NVS2
Q9NVS2,Q9HD33
Q9BYD3,Q9NQ50
Q8N5N7,Q8TAE8
Q7Z7H8,Q9H9J2
Q9NP92,P09001
Q9NP92,Q9BQ48
Q9BQ48,Q7Z7H8
Q7Z2W9,Q9NP92
Q8N5N7,Q13084
Q7Z7H8,Q9BYD1
Q8N5N7,Q9P0M9
Q9BQ48,Q8N5N7
Q13084,Q9NYK5
Q7Z7H8,Q8TCC3
Q8N5N7,Q14197
Q9Y6G3,Q9NQ50
Q8N5N7,Q5T653
Q9NP92,Q9BQC6
Q9NZE8,Q9NP92
Q9HD33,Q7Z7F7
Q9HD33,Q9NWU5
Q9HD33,Q9Y3B7
Q9H2W6,Q96GC5
Q8N5N7,Q8TCC3
Q9NP92,Q9BYC8
Q9HD33,Q8TCC3
Q9NP92,Q9H9J2
Q9HD33,Q9P0M9
Q8N5N7,Q9NX20
Q9HD33,Q5T653
Q8N5N7,Q9NZE8
Q8IXM3,Q8TCC3
Q7Z7H8,Q13405
Q9NP92,Q14197
Q9NP92,Q9NWU5
Q9HD33,Q9NQ50
Q9HD33,Q9P015
Q9NP92,Q9BYD1
Q9Y6G3,Q9NYK5
Q13084,Q8TCC3
Q7Z7H8,Q9BYC8
Q8N5N7,Q9NRX2
Q7Z7H8,Q9NX20
Q9BYD3,Q8TAE8
Q8N5N7,Q9BYD1
Q9Y6G3,Q8TAE8
Q9HD33,Q9H2W6
Q9Y6G3,Q9BYD1
Q7Z7H8,Q14197
Q9NP92,O75394
Q7Z7H8,P09001
Q9Y6G3,Q9Y3B7
Q9HD33,Q9H9J2
Q9HD33,P49406
Q9Y6G3,Q8N983
Q9BYD3,Q8TCC3
Q7Z2W9,Q9HD33
Q9BZE1,Q9NP92
Q7Z7H8,Q9P0M9
